dataset,model,seed,event_id,available_future_steps,horizon_steps,horizon_seconds,mae_acc,rmse_acc,mae_spacing,rmse_spacing,mae_speed,collision,collision_step,unsafe_event,unsafe_frames,unsafe_frame_rate,unsafe_thw_threshold_seconds,thw_moving_frames,minimum_predicted_thw,negative_speed_attempts,negative_speed_attempt_rate,overspeed_attempts,overspeed_attempt_rate,numerical_failure,minimum_predicted_spacing,router_mean_Mamba,router_std_Mamba,router_top1_fraction_Mamba,router_mean_Gipps,router_std_Gipps,router_top1_fraction_Gipps,router_mean_GM,router_std_GM,router_top1_fraction_GM,router_mean_FVD,router_std_FVD,router_top1_fraction_FVD,router_mean_Wiedemann,router_std_Wiedemann,router_top1_fraction_Wiedemann,router_mean_NETSIM,router_std_NETSIM,router_top1_fraction_NETSIM,router_mean_Mod_NETSIM,router_std_Mod_NETSIM,router_top1_fraction_Mod_NETSIM,router_mean_Fritzsche,router_std_Fritzsche,router_top1_fraction_Fritzsche,contribution_mean_Mamba,contribution_std_Mamba,contribution_mean_Gipps,contribution_std_Gipps,contribution_mean_GM,contribution_std_GM,contribution_mean_FVD,contribution_std_FVD,contribution_mean_Wiedemann,contribution_std_Wiedemann,contribution_mean_NETSIM,contribution_std_NETSIM,contribution_mean_Mod_NETSIM,contribution_std_Mod_NETSIM,contribution_mean_Fritzsche,contribution_std_Fritzsche,contribution_mean_Transformer_shared,contribution_std_Transformer_shared,contribution_mean_IDM_shared,contribution_std_IDM_shared,scene_soft_mean_1,scene_hard_fraction_1,scene_soft_mean_2,scene_hard_fraction_2,scene_soft_mean_3,scene_hard_fraction_3,scene_soft_mean_4,scene_hard_fraction_4,evaluation_gpu_local,evaluation_gpu_physical
NGSIM,MoE_OpenLoop,42,0,590,590,59.0,0.6723574995994568,0.8787294626235962,2.897752523422241,3.2212581634521484,0.7510265111923218,0,-1,0,0,0.0,2.0,590,2.0359132289886475,0,0.0,0,0.0,0,9.050688743591309,0.20120365917682648,0.2336953729391098,0.02881355956196785,0.0,0.0,0.0,0.5552189350128174,0.03457586467266083,0.9711864590644836,0.16953600943088531,0.20956243574619293,0.0,0.02648688480257988,0.101004458963871,0.0,0.027125975117087364,0.10811181366443634,0.0,0.020428670570254326,0.086752749979496,0.0,0.0,0.0,0.0,0.0033721106592565775,0.006800059229135513,0.0,0.0,0.059417128562927246,0.062078554183244705,0.0338921993970871,0.08223169296979904,0.008915109559893608,0.0381944514811039,1.178569959847664e-06,1.0950130672426894e-05,4.70344629129732e-13,2.3495396166833826e-12,0.0,0.0,0.43213319778442383,0.17801280319690704,0.46226921677589417,0.1989646852016449,0.3576935827732086,0.30169492959976196,0.4030248522758484,0.698305070400238,0.05749884247779846,0.0,0.18178239464759827,0.0,0,5
NGSIM,MoE_OpenLoop,42,1,415,415,41.5,0.41654038429260254,0.5432435870170593,7.0710015296936035,7.62812614440918,0.6621636152267456,0,-1,1,10,0.024096385542168676,2.0,415,1.9108268022537231,0,0.0,0,0.0,0,6.878203868865967,0.10226583480834961,0.19077728688716888,0.0,0.019681546837091446,0.09523289650678635,0.0,0.5243939757347107,0.12269311398267746,0.8240963816642761,0.1386682391166687,0.19646503031253815,0.0,0.1721498966217041,0.24670225381851196,0.17590361833572388,0.02968951128423214,0.11059945076704025,0.0,0.013150905258953571,0.07038292288780212,0.0,0.0,0.0,0.0,0.00299164024181664,0.006764675956219435,0.004734107293188572,0.02316955476999283,0.05825001746416092,0.05855691432952881,0.019570376724004745,0.03587741404771805,0.05789317935705185,0.10446955263614655,1.4652319805463776e-05,0.000180344344698824,7.654722802884553e-14,4.514934162213463e-13,0.0,0.0,0.42095115780830383,0.19127382338047028,0.4355950355529785,0.13245466351509094,0.34224551916122437,0.3614457845687866,0.417683869600296,0.6385542154312134,0.059969209134578705,0.0,0.18010127544403076,0.0,0,5
NGSIM,MoE_OpenLoop,42,2,458,458,45.800000000000004,0.5825240015983582,0.7526100873947144,5.453696250915527,5.617332458496094,0.3877613842487335,0,-1,1,367,0.8013100436681223,2.0,458,1.541468620300293,0,0.0,0,0.0,0,9.583732604980469,0.21730074286460876,0.24515531957149506,0.22707423567771912,0.08852813392877579,0.19261014461517334,0.07641921192407608,0.3218906819820404,0.2606830596923828,0.5436681509017944,0.06116284802556038,0.1560891568660736,0.0,0.0,0.0,0.0,0.019170433282852173,0.09224385023117065,0.0,0.29194706678390503,0.23652224242687225,0.15283842384815216,0.0,0.0,0.0,0.004466574173420668,0.011652917601168156,0.0066728959791362286,0.024189507588744164,0.026853101328015327,0.042745962738990784,0.008346300572156906,0.026754599064588547,0.0,0.0,5.12875999447715e-07,4.304278263589367e-06,0.000640613492578268,0.006810079328715801,0.0,0.0,0.49847447872161865,0.22148486971855164,0.45454567670822144,0.21324992179870605,0.23645435273647308,0.017467249184846878,0.5711909532546997,0.9825327396392822,0.05802001431584358,0.0,0.13433483242988586,0.0,2,7
NGSIM,MoE_OpenLoop,42,3,507,507,50.7,0.5084471106529236,0.6869011521339417,9.571921348571777,10.19662857055664,0.6022160053253174,0,-1,0,0,0.0,2.0,507,2.1853506565093994,0,0.0,0,0.0,0,14.887652397155762,0.059656772762537,0.15179704129695892,0.0,0.0,0.0,0.0,0.5501936078071594,0.08390751481056213,0.9546350836753845,0.30305591225624084,0.2017858624458313,0.00788954645395279,0.03183166682720184,0.12337899953126907,0.0374753437936306,0.0552617684006691,0.1455293893814087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001419705804437399,0.004323070403188467,0.0,0.0,0.04129406809806824,0.05160759761929512,0.03555373102426529,0.05030630901455879,0.010575849562883377,0.042967334389686584,5.371729230319033e-07,4.7096918933675624e-06,0.0,0.0,0.0,0.0,0.42205899953842163,0.17635349929332733,0.48909685015678406,0.1738205850124359,0.40344423055648804,0.5641025900840759,0.3435388207435608,0.43589743971824646,0.05741574242711067,0.0,0.1956014335155487,0.0,2,7
NGSIM,MoE_OpenLoop,42,4,136,136,13.600000000000001,0.8259941339492798,1.0337579250335693,5.961244106292725,8.017695426940918,1.1271400451660156,0,-1,0,0,0.0,2.0,136,3.883556365966797,0,0.0,0,0.0,0,77.42436218261719,0.019876616075634956,0.09252087026834488,0.0,0.0,0.0,0.0,0.549756646156311,0.0032388914842158556,1.0,0.0,0.0,0.0,0.4303666651248932,0.09251278638839722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00236679520457983,0.011163595132529736,0.0,0.0,0.03176559507846832,0.013208079151809216,0.0,0.0,0.43031442165374756,0.1688070446252823,0.0,0.0,0.0,0.0,0.0,0.0,0.1212163120508194,0.08352819830179214,0.41433683037757874,0.13110004365444183,0.6023526787757874,1.0,0.10026530921459198,0.0,0.04351077601313591,0.0,0.25387126207351685,0.0,1,6
NGSIM,MoE_OpenLoop,42,5,436,436,43.6,0.6174355149269104,0.7948037981987,2.0137202739715576,2.4450743198394775,0.5089592337608337,0,-1,0,0,0.0,2.0,436,2.2422642707824707,0,0.0,0,0.0,0,8.307466506958008,0.05996641144156456,0.16002492606639862,0.06422018259763718,0.017649993300437927,0.09043405950069427,0.0,0.537864625453949,0.060069262981414795,0.7385321259498596,0.19419322907924652,0.2117997258901596,0.0,0.13773036003112793,0.23468628525733948,0.197247713804245,0.05259530618786812,0.14177395403385162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005949085461907089,0.0023627118207514286,0.006247627083212137,0.03205768018960953,0.04839525744318962,0.05322110652923584,0.01929505541920662,0.03134971112012863,0.050295811146497726,0.09627118706703186,9.108586709771771e-06,8.565368625568226e-05,0.0,0.0,0.0,0.0,0.3813058137893677,0.188388392329216,0.4938565790653229,0.16291923820972443,0.3467138707637787,0.22018349170684814,0.41480496525764465,0.7798165082931519,0.05916781350970268,0.0,0.1793133169412613,0.0,2,7
NGSIM,MoE_OpenLoop,42,6,443,443,44.300000000000004,0.6331009864807129,0.7845677137374878,4.300196647644043,5.169952869415283,0.7876238822937012,0,-1,1,35,0.07900677200902935,2.0,443,1.8093661069869995,0,0.0,0,0.0,0,4.170794486999512,0.1384831815958023,0.21303795278072357,0.056433409452438354,0.03600747510790825,0.12741731107234955,0.031602710485458374,0.5266929864883423,0.09873322397470474,0.8781038522720337,0.16066978871822357,0.21400843560695648,0.0,0.07406587153673172,0.17129963636398315,0.020316027104854584,0.028838029131293297,0.11328914761543274,0.0022573363967239857,0.03524257242679596,0.12068463116884232,0.011286681517958641,0.0,0.0,0.0,0.0008374188910238445,0.0018963204929605126,0.010712914168834686,0.04267530143260956,0.05165056511759758,0.05870187282562256,0.0156883392482996,0.030828295275568962,0.016446851193904877,0.04502560943365097,0.0002721488999668509,0.0020421529188752174,0.0011146551696583629,0.012611312791705132,0.0,0.0,0.4226338267326355,0.17592161893844604,0.48064303398132324,0.15982677042484283,0.3570822477340698,0.33634310960769653,0.3998461067676544,0.6636568903923035,0.05734125152230263,0.0,0.185730442404747,0.0,1,6
NGSIM,MoE_OpenLoop,42,7,392,392,39.2,0.5402259230613708,0.7355911135673523,6.025463104248047,7.143191337585449,0.6427841782569885,0,-1,1,170,0.4336734693877551,2.0,392,1.4512063264846802,0,0.0,0,0.0,0,6.479421138763428,0.16580314934253693,0.2405429482460022,0.20408163964748383,0.06766601651906967,0.1675686538219452,0.0076530613005161285,0.41567888855934143,0.2128356695175171,0.6403061151504517,0.03569270297884941,0.1181030124425888,0.0,0.06643394380807877,0.17525003850460052,0.06122449040412903,0.020389599725604057,0.09579865634441376,0.0,0.22833561897277832,0.23609080910682678,0.08673469722270966,0.0,0.0,0.0,0.001394716091454029,0.0037420291919261217,0.0053571187891066074,0.02079986035823822,0.04271648824214935,0.05730327591300011,0.006814432796090841,0.02512315660715103,0.02459372580051422,0.06939364969730377,1.3364873666432686e-05,0.00015050507499836385,0.0004644275759346783,0.004047355614602566,0.0,0.0,0.4572462737560272,0.1945011019706726,0.4613993763923645,0.15609419345855713,0.23046743869781494,0.022959183901548386,0.5745424032211304,0.9770408272743225,0.05965593829751015,0.0,0.1353340595960617,0.0,0,5
NGSIM,MoE_OpenLoop,42,8,516,516,51.6,0.4848943054676056,0.6535146236419678,2.5955116748809814,3.3356287479400635,0.46090811491012573,0,-1,0,0,0.0,2.0,516,2.4621660709381104,0,0.0,0,0.0,0,10.566232681274414,0.04942889139056206,0.13634903728961945,0.0,0.00452443677932024,0.04574006050825119,0.0,0.5409321784973145,0.10064680874347687,0.8294573426246643,0.25925958156585693,0.20468099415302277,0.0,0.12352563440799713,0.23118488490581512,0.1705426424741745,0.013709696009755135,0.07671387493610382,0.0,0.008619404397904873,0.05840431898832321,0.0,0.0,0.0,0.0,0.00034441507887095213,0.0012001123977825046,0.0015975310234352946,0.016185149550437927,0.05034798011183739,0.04956527054309845,0.03924363851547241,0.05242529511451721,0.04861275106668472,0.09840789437294006,4.0939365675285444e-08,5.05188609167817e-07,7.774319499276316e-08,5.463560910357046e-07,0.0,0.0,0.3931494653224945,0.18114638328552246,0.46670451760292053,0.14417150616645813,0.379326194524765,0.49418604373931885,0.3732353150844574,0.5058139562606812,0.05855308845639229,0.0,0.18888571858406067,0.0,2,7
NGSIM,MoE_OpenLoop,42,9,481,481,48.1,0.5477079153060913,0.7281352281570435,6.314663887023926,7.973121166229248,0.5373873710632324,0,-1,0,0,0.0,2.0,481,2.034620761871338,0,0.0,0,0.0,0,13.284222602844238,0.23843079805374146,0.2380727380514145,0.1683991700410843,0.0,0.0,0.0,0.5257853269577026,0.12491914629936218,0.7297297120094299,0.09928891062736511,0.17897149920463562,0.0020790020935237408,0.05426976829767227,0.16236089169979095,0.07484407722949982,0.02074606902897358,0.0997278019785881,0.02494802512228489,0.061479296535253525,0.14196069538593292,0.0,0.0,0.0,0.0,0.0037234758492559195,0.006965616252273321,0.0,0.0,0.037280935794115067,0.04658259078860283,0.01310321781784296,0.0353512242436409,0.02078043296933174,0.06786316633224487,8.506076483172365e-07,1.3450656297209207e-05,4.453987526020775e-11,1.471348459736177e-10,0.0,0.0,0.47087615728378296,0.19319963455200195,0.45423468947410583,0.17590688169002533,0.2886878252029419,0.0665280669927597,0.5066388249397278,0.9334719181060791,0.05614989995956421,0.0,0.14852342009544373,0.0,2,7
