dataset,model,seed,event_id,available_future_steps,horizon_steps,horizon_seconds,mae_acc,rmse_acc,mae_spacing,rmse_spacing,mae_speed,collision,collision_step,unsafe_event,unsafe_frames,unsafe_frame_rate,unsafe_thw_threshold_seconds,thw_moving_frames,minimum_predicted_thw,negative_speed_attempts,negative_speed_attempt_rate,overspeed_attempts,overspeed_attempt_rate,numerical_failure,minimum_predicted_spacing,router_mean_Mamba,router_std_Mamba,router_top1_fraction_Mamba,router_mean_Gipps,router_std_Gipps,router_top1_fraction_Gipps,router_mean_GM,router_std_GM,router_top1_fraction_GM,router_mean_FVD,router_std_FVD,router_top1_fraction_FVD,router_mean_Wiedemann,router_std_Wiedemann,router_top1_fraction_Wiedemann,router_mean_NETSIM,router_std_NETSIM,router_top1_fraction_NETSIM,router_mean_Mod_NETSIM,router_std_Mod_NETSIM,router_top1_fraction_Mod_NETSIM,router_mean_Fritzsche,router_std_Fritzsche,router_top1_fraction_Fritzsche,contribution_mean_Mamba,contribution_std_Mamba,contribution_mean_Gipps,contribution_std_Gipps,contribution_mean_GM,contribution_std_GM,contribution_mean_FVD,contribution_std_FVD,contribution_mean_Wiedemann,contribution_std_Wiedemann,contribution_mean_NETSIM,contribution_std_NETSIM,contribution_mean_Mod_NETSIM,contribution_std_Mod_NETSIM,contribution_mean_Fritzsche,contribution_std_Fritzsche,contribution_mean_Transformer_shared,contribution_std_Transformer_shared,contribution_mean_IDM_shared,contribution_std_IDM_shared,scene_soft_mean_1,scene_hard_fraction_1,scene_soft_mean_2,scene_hard_fraction_2,scene_soft_mean_3,scene_hard_fraction_3,scene_soft_mean_4,scene_hard_fraction_4,evaluation_gpu_local,evaluation_gpu_physical
NGSIM,MoE,101,0,590,590,59.0,0.5827233195304871,0.758019208908081,3.420097589492798,3.977067708969116,0.7275281548500061,0,-1,0,0,0.0,2.0,590,2.1184945106506348,0,0.0,0,0.0,0,10.019999504089355,0.044793982058763504,0.1384178102016449,0.0,0.27933061122894287,0.2449788600206375,0.2322033941745758,0.18289388716220856,0.23649489879608154,0.10169491171836853,0.4689039885997772,0.14682862162590027,0.6661016941070557,0.000846576935146004,0.020545849576592445,0.0,0.0,0.0,0.0,0.023231027647852898,0.10038425028324127,0.0,0.0,0.0,0.0,0.006856402847915888,0.03030102699995041,0.01714160479605198,0.0333869643509388,0.009614805690944195,0.014499700628221035,0.04475550726056099,0.05458192899823189,0.00010005382500821725,0.0024282385129481554,0.0,0.0,0.00037822307785972953,0.009179217740893364,0.0,0.0,0.45608097314834595,0.1336798071861267,0.4650722146034241,0.16286645829677582,0.5048936009407043,0.6084745526313782,0.03187020123004913,0.0,0.02362539805471897,0.0,0.43961063027381897,0.39152541756629944,0,5
NGSIM,MoE,101,1,415,415,41.5,0.41622841358184814,0.5591696500778198,6.056012153625488,6.778338432312012,0.6804363131523132,0,-1,0,0,0.0,2.0,415,2.138152837753296,0,0.0,0,0.0,0,8.637904167175293,0.07509656995534897,0.17437557876110077,0.0,0.20792877674102783,0.24403886497020721,0.20240963995456696,0.24188783764839172,0.24980388581752777,0.22650602459907532,0.4129406213760376,0.20427215099334717,0.5710843205451965,0.010728762485086918,0.07205954194068909,0.0,0.0,0.0,0.0,0.0514175221323967,0.14565914869308472,0.0,0.0,0.0,0.0,0.005483537912368774,0.01387222483754158,0.01571446657180786,0.0318344309926033,0.020728714764118195,0.03388630598783493,0.04202764853835106,0.04272664710879326,0.004772722255438566,0.03219650313258171,0.0,0.0,0.0007611153996549547,0.007754006423056126,0.0,0.0,0.436616986989975,0.1803787797689438,0.47389498353004456,0.15071605145931244,0.5238744020462036,0.47228914499282837,0.030537044629454613,0.0,0.0256364606320858,0.0,0.41995224356651306,0.5277108550071716,0,5
NGSIM,MoE,101,2,458,458,45.800000000000004,0.4780105948448181,0.6315968036651611,5.381803035736084,5.544245719909668,0.37258994579315186,0,-1,1,401,0.8755458515283843,2.0,458,1.5554444789886475,0,0.0,0,0.0,0,10.064410209655762,0.07102825492620468,0.17739072442054749,0.05458515137434006,0.27634119987487793,0.24748821556568146,0.19868995249271393,0.21814031898975372,0.24452514946460724,0.06986899673938751,0.43449026346206665,0.17531506717205048,0.6768559217453003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033897256944328547,0.009188665077090263,0.0150800421833992,0.01609880104660988,0.012968829832971096,0.024891996756196022,0.021138310432434082,0.02585410326719284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4790697693824768,0.16332045197486877,0.46835336089134216,0.1551312953233719,0.5332468748092651,0.7445414662361145,0.04606764018535614,0.0,0.07075535506010056,0.0,0.3499303460121155,0.2554585039615631,2,7
NGSIM,MoE,101,3,507,507,50.7,0.5275006294250488,0.7184876799583435,7.706295490264893,8.296730995178223,0.6192216277122498,0,-1,0,0,0.0,2.0,507,2.127744197845459,0,0.0,0,0.0,0,14.14501667022705,0.000875003868713975,0.01968272589147091,0.0,0.2120344191789627,0.23756718635559082,0.03944773226976395,0.25571829080581665,0.24166864156723022,0.023668639361858368,0.5194643139839172,0.014048166573047638,0.9368836283683777,0.0018927257042378187,0.030075911432504654,0.0,0.0,0.0,0.0,0.010015301406383514,0.06725314259529114,0.0,0.0,0.0,0.0,0.000223570445086807,0.005029093008488417,0.011507408693432808,0.015204993076622486,0.013091911561787128,0.02163667604327202,0.04466685652732849,0.05697803571820259,0.00024405932344961911,0.00393310934305191,0.0,0.0,1.840098982474475e-13,1.2402079146642264e-12,0.0,0.0,0.4557403326034546,0.12870489060878754,0.47452569007873535,0.1537170559167862,0.5319605469703674,0.6804733872413635,0.03275984525680542,0.0,0.02517959661781788,0.0,0.4101001024246216,0.3195266127586365,2,7
NGSIM,MoE,101,4,136,136,13.600000000000001,0.8734239339828491,1.0650007724761963,4.396755695343018,5.573372840881348,0.8252820372581482,0,-1,0,0,0.0,2.0,136,2.3825998306274414,0,0.0,0,0.0,0,51.406036376953125,0.5728678703308105,0.008501213975250721,1.0,0.10559778660535812,0.18662288784980774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32153424620628357,0.1820734292268753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06209607049822807,0.026562457904219627,0.0015966719947755337,0.0032982397824525833,0.0,0.0,0.0,0.0,0.0,0.0,4.2631984042188066e-20,1.8974531927701098e-19,0.0,0.0,0.0,0.0,0.508837878704071,0.18880556523799896,0.4274693727493286,0.2054072618484497,0.312427282333374,0.0,0.03617639094591141,0.0,0.03212253749370575,0.0,0.619273841381073,1.0,1,6
NGSIM,MoE,101,5,436,436,43.6,0.6600725650787354,0.8361349105834961,2.2568867206573486,2.78367018699646,0.5280285477638245,0,-1,0,0,0.0,2.0,436,2.258857011795044,0,0.0,0,0.0,0,9.332807540893555,0.013813048601150513,0.08210877329111099,0.01834862306714058,0.18004438281059265,0.23467744886875153,0.11009174585342407,0.3149641752243042,0.23795999586582184,0.22477063536643982,0.4446350932121277,0.1771736592054367,0.646789014339447,0.009079650044441223,0.06641197949647903,0.0,0.0,0.0,0.0,0.037463512271642685,0.12686790525913239,0.0,0.0,0.0,0.0,0.001105091767385602,0.006581620313227177,0.016345374286174774,0.03542225807905197,0.022142421454191208,0.02717413753271103,0.0386427640914917,0.04841047525405884,0.004243006464093924,0.031126100569963455,0.0,0.0,0.0008212167886085808,0.008743951097130775,0.0,0.0,0.3996637463569641,0.164237841963768,0.5170368552207947,0.1483999490737915,0.5828658938407898,0.747706413269043,0.02940157987177372,0.0,0.02345392107963562,0.0,0.36427849531173706,0.25229358673095703,2,7
NGSIM,MoE,101,6,443,443,44.300000000000004,0.5626115202903748,0.7343976497650146,5.001139163970947,6.007691383361816,0.8080359697341919,0,-1,1,32,0.07223476297968397,2.0,443,1.7839641571044922,0,0.0,0,0.0,0,6.093348979949951,0.02184935100376606,0.10326110571622849,0.029345372691750526,0.3329660892486572,0.23527036607265472,0.3476297855377197,0.24401333928108215,0.24253229796886444,0.07223476469516754,0.3422892987728119,0.24281950294971466,0.519187331199646,0.011255445890128613,0.0740639790892601,0.0,0.015655197203159332,0.08666728436946869,0.006772009190171957,0.0212408434599638,0.10036420822143555,0.02483069896697998,0.010730323381721973,0.07061418145895004,0.0,0.0008992413058876991,0.0043687461875379086,0.017719252035021782,0.03331368789076805,0.015013661235570908,0.022352857515215874,0.019419575110077858,0.03251565620303154,0.0025289335753768682,0.01713768020272255,1.9569164578570053e-05,0.0002510997001081705,3.717936891689533e-08,3.931245657895488e-07,0.0035210258793085814,0.027203764766454697,0.42434757947921753,0.1398414969444275,0.5165311098098755,0.14104779064655304,0.49067530035972595,0.6094807982444763,0.030433017760515213,0.0,0.02474701777100563,0.0,0.454144686460495,0.3905192017555237,1,6
NGSIM,MoE,101,7,392,392,39.2,0.4197372496128082,0.5797320008277893,4.897472858428955,5.903886795043945,0.6209234595298767,0,-1,1,76,0.19387755102040816,2.0,392,1.491068959236145,0,0.0,0,0.0,0,7.116827487945557,0.0,0.0,0.0,0.2499849796295166,0.24652276933193207,0.1785714328289032,0.28878018260002136,0.24376827478408813,0.18877550959587097,0.46123504638671875,0.14736151695251465,0.6326530575752258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014201107434928417,0.02427295595407486,0.02584243007004261,0.03570184111595154,0.029270805418491364,0.034039050340652466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4523956775665283,0.17826591432094574,0.47828975319862366,0.1562991589307785,0.612879753112793,0.8265306353569031,0.03535699471831322,0.0,0.04246881604194641,0.0,0.3092941641807556,0.1734693944454193,0,5
NGSIM,MoE,101,8,516,516,51.6,0.45300906896591187,0.6140563488006592,2.572664260864258,3.1183881759643555,0.46468812227249146,0,-1,0,0,0.0,2.0,516,2.410942316055298,0,0.0,0,0.0,0,11.597554206848145,0.09399361908435822,0.1908666342496872,0.042635660618543625,0.13188251852989197,0.22058826684951782,0.16472868621349335,0.259922593832016,0.24671773612499237,0.24031007289886475,0.4914955198764801,0.09603947401046753,0.5523256063461304,0.0,0.0,0.0,0.0,0.0,0.0,0.02270568162202835,0.10067033022642136,0.0,0.0,0.0,0.0,0.010667366907000542,0.028576841577887535,0.005874112714082003,0.013377216644585133,0.023265503346920013,0.03586067259311676,0.05356428027153015,0.06146320700645447,0.0,0.0,0.0,0.0,0.0023383807856589556,0.016842234879732132,0.0,0.0,0.3815186023712158,0.16566771268844604,0.522771954536438,0.14779755473136902,0.5387808680534363,0.565891444683075,0.02778778411448002,0.0,0.01902885176241398,0.0,0.41440245509147644,0.43410852551460266,2,7
NGSIM,MoE,101,9,481,481,48.1,0.4131559431552887,0.5425557494163513,5.379292011260986,6.577578544616699,0.4639737904071808,0,-1,0,0,0.0,2.0,481,2.065178155899048,0,0.0,0,0.0,0,13.207442283630371,0.019311752170324326,0.09524393081665039,0.0,0.18754801154136658,0.23731812834739685,0.039501041173934937,0.26392143964767456,0.2444610893726349,0.07484407722949982,0.5114678740501404,0.010529227554798126,0.885654866695404,0.0,0.0,0.0,0.011821801774203777,0.0739072635769844,0.0,0.0059287999756634235,0.05275219306349754,0.0,0.0,0.0,0.0,0.0012647963594645262,0.008163371123373508,0.010202263481914997,0.01537654735147953,0.01406937837600708,0.025251023471355438,0.03424854576587677,0.03932442143559456,0.0,0.0,7.113155064963905e-10,4.920599039337503e-09,1.7601883492424086e-12,1.5665893929317498e-11,0.0,0.0,0.47620803117752075,0.13949063420295715,0.4640066921710968,0.15322503447532654,0.6010355353355408,0.7484407424926758,0.035478197038173676,0.0,0.038075171411037445,0.0,0.3254116177558899,0.2515592575073242,2,7
