dataset,model,seed,event_id,available_future_steps,horizon_steps,horizon_seconds,mae_acc,rmse_acc,mae_spacing,rmse_spacing,mae_speed,collision,collision_step,unsafe_event,unsafe_frames,unsafe_frame_rate,unsafe_thw_threshold_seconds,thw_moving_frames,minimum_predicted_thw,negative_speed_attempts,negative_speed_attempt_rate,overspeed_attempts,overspeed_attempt_rate,numerical_failure,minimum_predicted_spacing,evaluation_gpu_local,evaluation_gpu_physical
NGSIM,Mamba,137,0,590,590,59.0,0.6124398708343506,0.8015307784080505,2.2661402225494385,2.6211204528808594,0.6991500854492188,0,-1,0,0,0.0,2.0,590,2.2207648754119873,0,0.0,0,0.0,0,11.385436058044434,0,5
NGSIM,Mamba,137,1,415,415,41.5,0.4162614941596985,0.5525022149085999,6.118973731994629,6.920796871185303,0.7457652688026428,0,-1,0,0,0.0,2.0,415,2.3190014362335205,0,0.0,0,0.0,0,9.581109046936035,0,5
NGSIM,Mamba,137,2,458,458,45.800000000000004,0.4607679843902588,0.6166069507598877,4.7930707931518555,4.9438557624816895,0.3636961877346039,0,-1,1,217,0.4737991266375546,2.0,458,1.5403273105621338,0,0.0,0,0.0,0,10.746594429016113,2,7
NGSIM,Mamba,137,3,507,507,50.7,0.49057525396347046,0.6682630777359009,7.228174686431885,7.642805099487305,0.49246060848236084,0,-1,0,0,0.0,2.0,507,2.297152042388916,0,0.0,0,0.0,0,15.231037139892578,2,7
NGSIM,Mamba,137,4,136,136,13.600000000000001,0.8856456875801086,1.1041597127914429,1.8051174879074097,2.4893174171447754,0.5746162533760071,0,-1,0,0,0.0,2.0,136,3.289158344268799,0,0.0,0,0.0,0,67.20269012451172,1,6
NGSIM,Mamba,137,5,436,436,43.6,0.6531922817230225,0.826033890247345,2.289261817932129,2.8415331840515137,0.6086164116859436,0,-1,0,0,0.0,2.0,436,2.2723886966705322,0,0.0,0,0.0,0,9.936685562133789,2,7
NGSIM,Mamba,137,6,443,443,44.300000000000004,0.5583503246307373,0.6961386799812317,3.546468734741211,4.4318413734436035,0.69631028175354,0,-1,1,34,0.07674943566591422,2.0,443,1.9191910028457642,0,0.0,0,0.0,0,6.476083278656006,1,6
NGSIM,Mamba,137,7,392,392,39.2,0.43729767203330994,0.5948750972747803,5.9319281578063965,7.011251926422119,0.6314690709114075,0,-1,1,135,0.34438775510204084,2.0,392,1.4733909368515015,0,0.0,0,0.0,0,6.275186061859131,0,5
NGSIM,Mamba,137,8,516,516,51.6,0.4661789536476135,0.6298588514328003,2.4738943576812744,2.9571733474731445,0.4140457510948181,0,-1,0,0,0.0,2.0,516,2.388967514038086,0,0.0,0,0.0,0,12.509435653686523,2,7
NGSIM,Mamba,137,9,481,481,48.1,0.4400026202201843,0.6079289317131042,5.935168743133545,6.889937877655029,0.44596773386001587,0,-1,0,0,0.0,2.0,481,2.1208794116973877,0,0.0,0,0.0,0,14.425521850585938,2,7
