dataset,model,seed,event_id,available_future_steps,horizon_steps,horizon_seconds,mae_acc,rmse_acc,mae_spacing,rmse_spacing,mae_speed,collision,collision_step,unsafe_event,unsafe_frames,unsafe_frame_rate,unsafe_thw_threshold_seconds,thw_moving_frames,minimum_predicted_thw,negative_speed_attempts,negative_speed_attempt_rate,overspeed_attempts,overspeed_attempt_rate,numerical_failure,minimum_predicted_spacing,router_mean_Mamba,router_std_Mamba,router_top1_fraction_Mamba,router_mean_Gipps,router_std_Gipps,router_top1_fraction_Gipps,router_mean_GM,router_std_GM,router_top1_fraction_GM,router_mean_FVD,router_std_FVD,router_top1_fraction_FVD,router_mean_Wiedemann,router_std_Wiedemann,router_top1_fraction_Wiedemann,router_mean_NETSIM,router_std_NETSIM,router_top1_fraction_NETSIM,router_mean_Mod_NETSIM,router_std_Mod_NETSIM,router_top1_fraction_Mod_NETSIM,router_mean_Fritzsche,router_std_Fritzsche,router_top1_fraction_Fritzsche,contribution_mean_Mamba,contribution_std_Mamba,contribution_mean_Gipps,contribution_std_Gipps,contribution_mean_GM,contribution_std_GM,contribution_mean_FVD,contribution_std_FVD,contribution_mean_Wiedemann,contribution_std_Wiedemann,contribution_mean_NETSIM,contribution_std_NETSIM,contribution_mean_Mod_NETSIM,contribution_std_Mod_NETSIM,contribution_mean_Fritzsche,contribution_std_Fritzsche,contribution_mean_Transformer_shared,contribution_std_Transformer_shared,contribution_mean_IDM_shared,contribution_std_IDM_shared,evaluation_gpu_local,evaluation_gpu_physical
NGSIM,MoE_NoScenePrior,42,0,590,590,59.0,0.5974420309066772,0.7668364644050598,3.6460258960723877,4.208572864532471,0.7136921286582947,0,-1,0,0,0.0,2.0,590,2.279731035232544,0,0.0,0,0.0,0,11.248884201049805,0.021767420694231987,0.10138200968503952,0.0,0.0,0.0,0.0,0.42617613077163696,0.17753396928310394,0.3644067943096161,0.06989306956529617,0.17278487980365753,0.0576271191239357,0.30364152789115906,0.2445341944694519,0.37627118825912476,0.028164353221654892,0.11389786005020142,0.0,0.027114156633615494,0.1113983541727066,0.0,0.12324333935976028,0.21794220805168152,0.20169492065906525,0.0012694253819063306,0.006194170098751783,0.0,0.0,0.030723944306373596,0.0484977662563324,0.006402196362614632,0.016756074503064156,0.05406199395656586,0.057194553315639496,2.6700634592202732e-08,1.3656661224104027e-07,6.072924688084111e-14,2.8194097447323263e-13,0.02203434519469738,0.0559765063226223,0.4570358991622925,0.11806408315896988,0.42847198247909546,0.11560000479221344,0,5
NGSIM,MoE_NoScenePrior,42,1,415,415,41.5,0.41677290201187134,0.5659953355789185,6.714405059814453,7.49891996383667,0.7509209513664246,0,-1,0,0,0.0,2.0,415,2.1014719009399414,0,0.0,0,0.0,0,8.419200897216797,0.014453952200710773,0.08376503735780716,0.016867469996213913,0.0,0.0,0.0,0.41240349411964417,0.20074206590652466,0.5277108550071716,0.06791435182094574,0.16536426544189453,0.0072289155796170235,0.12013265490531921,0.21197041869163513,0.08433734625577927,0.10704803466796875,0.20201805233955383,0.014457831159234047,0.136732816696167,0.22101862728595734,0.11084337532520294,0.1413150131702423,0.22828851640224457,0.2385542094707489,0.0035255393013358116,0.020826399326324463,0.0,0.0,0.03523087501525879,0.0396721325814724,0.014364960603415966,0.04155559837818146,0.03179048001766205,0.07177066802978516,4.66117198811844e-05,0.00024001687415875494,6.851016607321847e-13,2.4386974644546866e-12,0.02092556841671467,0.04789428785443306,0.43367692828178406,0.20709486305713654,0.4604385495185852,0.1390930563211441,0,5
NGSIM,MoE_NoScenePrior,42,2,458,458,45.800000000000004,0.4674922227859497,0.622652530670166,5.211194038391113,5.386228084564209,0.38672345876693726,0,-1,1,390,0.851528384279476,2.0,458,1.5567448139190674,0,0.0,0,0.0,0,10.65555191040039,0.18208624422550201,0.24276496469974518,0.23799127340316772,0.023499326780438423,0.09993812441825867,0.0,0.25929316878318787,0.2515246570110321,0.34061136841773987,0.1566220223903656,0.23014135658740997,0.07205240428447723,0.05460565909743309,0.1560024917125702,0.07205240428447723,0.24438267946243286,0.2513258159160614,0.1768558919429779,0.004202060401439667,0.044767238199710846,0.0,0.07530874758958817,0.17889252305030823,0.10043668001890182,0.011424358002841473,0.01874501258134842,0.001762199797667563,0.008586297743022442,0.01638833060860634,0.03371496498584747,0.011632096953690052,0.025537297129631042,0.013561317697167397,0.04496045783162117,3.859576827380806e-05,0.00034342208527959883,3.340131782270106e-10,3.6342127085475795e-09,0.00810934230685234,0.024895017966628075,0.49126145243644714,0.16457292437553406,0.4458223581314087,0.15280623733997345,2,7
NGSIM,MoE_NoScenePrior,42,3,507,507,50.7,0.5148659348487854,0.6991310119628906,7.570350170135498,8.06820011138916,0.5719703435897827,0,-1,0,0,0.0,2.0,507,2.2043073177337646,0,0.0,0,0.0,0,14.638806343078613,0.010549980215728283,0.07084323465824127,0.0,0.0,0.0,0.0,0.3413432240486145,0.23187972605228424,0.39447730779647827,0.0809437558054924,0.18428422510623932,0.07692307978868484,0.35011032223701477,0.2291547805070877,0.27218934893608093,0.07531723380088806,0.17664776742458344,0.0,0.0,0.0,0.0,0.14173543453216553,0.22838880121707916,0.2544378638267517,0.0010845656506717205,0.007294822949916124,0.0,0.0,0.017819492146372795,0.03260888531804085,0.005789949093014002,0.014018343761563301,0.0652201697230339,0.06601806730031967,9.655761346039071e-08,4.1730848465704184e-07,0.0,0.0,0.015984516590833664,0.038909345865249634,0.4550502598285675,0.12092973291873932,0.4390510618686676,0.10053355246782303,2,7
NGSIM,MoE_NoScenePrior,42,4,136,136,13.600000000000001,0.8871971368789673,1.0757728815078735,5.07127571105957,6.650538444519043,1.0256884098052979,0,-1,0,0,0.0,2.0,136,2.2191991806030273,0,0.0,0,0.0,0,48.65138244628906,0.544732391834259,0.04438963904976845,0.7647058963775635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4552677571773529,0.04439249262213707,0.23529411852359772,0.0,0.0,0.0,0.0,0.0,0.0,0.0348493829369545,0.011758879758417606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6470440515818603e-16,7.387323734095496e-16,0.0,0.0,0.0,0.0,0.5574714541435242,0.1869949847459793,0.40767911076545715,0.18836121261119843,1,6
NGSIM,MoE_NoScenePrior,42,5,436,436,43.6,0.6727396845817566,0.8432609438896179,1.3524948358535767,1.9321637153625488,0.5344491004943848,0,-1,0,0,0.0,2.0,436,2.168073892593384,0,0.0,0,0.0,0,8.661213874816895,0.03895086050033569,0.13393965363502502,0.05045871436595917,0.0,0.0,0.0,0.4075694680213928,0.2064044326543808,0.45183485746383667,0.07184063643217087,0.170353963971138,0.0229357797652483,0.312232106924057,0.2385675460100174,0.2958715558052063,0.05443176254630089,0.15478795766830444,0.027522936463356018,0.0173835176974535,0.08930203318595886,0.01146788988262415,0.09759149700403214,0.19982415437698364,0.13990825414657593,0.0042305742390453815,0.015541822649538517,0.0,0.0,0.03147127851843834,0.05848944932222366,0.011509329080581665,0.03198818117380142,0.0603429451584816,0.06969664990901947,6.117628799984232e-05,0.00031772610964253545,1.285477211906505e-15,7.413053630417766e-15,0.015236590057611465,0.04539931192994118,0.3978865146636963,0.16408702731132507,0.4792618453502655,0.1291593313217163,2,7
NGSIM,MoE_NoScenePrior,42,6,443,443,44.300000000000004,0.5392425656318665,0.6812283992767334,4.102660655975342,4.9968719482421875,0.7075332999229431,0,-1,1,32,0.07223476297968397,2.0,443,1.7606635093688965,0,0.0,0,0.0,0,6.499500274658203,0.04685680940747261,0.14483854174613953,0.042889390140771866,0.006875310558825731,0.05426329746842384,0.0,0.4156494438648224,0.18777568638324738,0.3972911834716797,0.052025679498910904,0.15103963017463684,0.013544018380343914,0.3757456839084625,0.21601344645023346,0.3792324960231781,0.03808864951133728,0.13666947185993195,0.06546275317668915,0.026088692247867584,0.1115700826048851,0.04063205420970917,0.0386696420609951,0.1341273933649063,0.05869074538350105,0.004686545114964247,0.016598530113697052,0.0010381267638877034,0.008199109695851803,0.022830119356513023,0.03227434679865837,0.0019159028306603432,0.006704994942992926,0.06512899696826935,0.07110899686813354,0.0003578317700885236,0.0022478760220110416,8.794448502769114e-11,5.170782135799357e-10,0.0038450085557997227,0.013955202884972095,0.42867761850357056,0.14460669457912445,0.47151950001716614,0.12018198519945145,1,6
NGSIM,MoE_NoScenePrior,42,7,392,392,39.2,0.4164941608905792,0.5629674196243286,5.459772109985352,6.56689977645874,0.6043667197227478,0,-1,1,162,0.413265306122449,2.0,392,1.4897754192352295,0,0.0,0,0.0,0,7.307560443878174,0.05213756486773491,0.1525605320930481,0.03316326439380646,0.016424931585788727,0.08868555724620819,0.0,0.3444471061229706,0.23163536190986633,0.3163265287876129,0.16191786527633667,0.23256653547286987,0.07908163219690323,0.37855300307273865,0.21712808310985565,0.5535714030265808,0.0465196929872036,0.14410372078418732,0.015306122601032257,0.0,0.0,0.0,0.0,0.0,0.0,0.007497991435229778,0.02874601073563099,0.0008310679695568979,0.005124941933900118,0.029403172433376312,0.038464032113552094,0.011439276859164238,0.028241809457540512,0.07165026664733887,0.07694493979215622,1.0270889106323011e-05,6.302924157353118e-05,0.0,0.0,0.0,0.0,0.4356767237186432,0.16874630749225616,0.4434908628463745,0.13734070956707,0,5
NGSIM,MoE_NoScenePrior,42,8,516,516,51.6,0.5170115232467651,0.6790921688079834,4.832258224487305,5.8075361251831055,0.5932550430297852,0,-1,0,0,0.0,2.0,516,2.590989828109741,0,0.0,0,0.0,0,12.521961212158203,0.053485773503780365,0.15832652151584625,0.058139536529779434,0.03966386988759041,0.13155551254749298,0.0,0.4012035131454468,0.2030092030763626,0.4554263651371002,0.12680864334106445,0.21742933988571167,0.1472868174314499,0.19324563443660736,0.24296213686466217,0.22674418985843658,0.04286815598607063,0.1355844885110855,0.0019379844889044762,0.11534333974123001,0.21068505942821503,0.075581394135952,0.027381131425499916,0.11435665935277939,0.03488372266292572,0.008747667074203491,0.02969716303050518,0.0034801666624844074,0.011757084168493748,0.03735252097249031,0.05407395958900452,0.01431855745613575,0.03548981249332428,0.04853764548897743,0.08294135332107544,5.409494860941777e-07,2.9736199849139666e-06,3.704788769775566e-17,1.709499628900962e-16,0.008443429134786129,0.04105302318930626,0.38778436183929443,0.15002958476543427,0.4913351535797119,0.12607581913471222,2,7
NGSIM,MoE_NoScenePrior,42,9,481,481,48.1,0.3896311819553375,0.5065301060676575,5.2582502365112305,6.2769083976745605,0.37595608830451965,0,-1,0,0,0.0,2.0,481,2.027560234069824,0,0.0,0,0.0,0,13.34634017944336,0.03949775546789169,0.13487093150615692,0.041580040007829666,0.0,0.0,0.0,0.43625015020370483,0.1728670746088028,0.5322245359420776,0.03840186819434166,0.13118599355220795,0.012474012561142445,0.31593942642211914,0.23912954330444336,0.2640332579612732,0.08006501197814941,0.1834360808134079,0.07692307978868484,0.05039767175912857,0.14969898760318756,0.029106028378009796,0.03944796323776245,0.1346990317106247,0.043659042567014694,0.0030061944853514433,0.011337053962051868,0.0,0.0,0.027135396376252174,0.045012909919023514,0.0050316471606493,0.019330425187945366,0.04985552653670311,0.0648232251405716,5.0276234730972647e-08,4.280072403162194e-07,5.7743112374941674e-11,2.3530841164465244e-10,0.0067468793131411076,0.03143889456987381,0.4763788878917694,0.1431177407503128,0.43184566497802734,0.13595689833164215,2,7
NGSIM,MoE_NoScenePrior,42,10,399,399,39.900000000000006,0.6580974459648132,0.8320121765136719,8.628196716308594,10.517672538757324,0.8675758242607117,0,-1,0,0,0.0,2.0,399,2.4803967475891113,0,0.0,0,0.0,0,10.19593334197998,0.037365444004535675,0.1310472935438156,0.0,0.0,0.0,0.0,0.41512295603752136,0.18835203349590302,0.34085214138031006,0.018251514062285423,0.09235413372516632,0.0,0.32481974363327026,0.24020788073539734,0.4761904776096344,0.09899158775806427,0.19771061837673187,0.05012531206011772,0.0024239816702902317,0.03415150195360184,0.0,0.1030246689915657,0.20259420573711395,0.13283208012580872,0.003734827972948551,0.013276727870106697,0.0,0.0,0.03479214385151863,0.04537313058972359,0.0007237399695441127,0.00414590397849679,0.062179770320653915,0.06621301919221878,1.854268816714466e-06,1.3299870261107571e-05,9.652799874619195e-18,1.3623914828165602e-16,0.030070167034864426,0.07211554050445557,0.45110368728637695,0.12656725943088531,0.41739386320114136,0.12855249643325806,0,5
NGSIM,MoE_NoScenePrior,42,11,567,567,56.7,0.6843597888946533,0.9140705466270447,11.562450408935547,13.565447807312012,0.9162962436676025,0,-1,0,0,0.0,2.0,567,2.0484352111816406,0,0.0,0,0.0,0,8.228120803833008,0.027209866791963577,0.11314500868320465,0.01587301678955555,0.0,0.0,0.0,0.404443621635437,0.2008512169122696,0.47971782088279724,0.07808802276849747,0.1798391491174698,0.04585538059473038,0.3068895637989044,0.24263207614421844,0.31393298506736755,0.0676766112446785,0.17076385021209717,0.05643738806247711,0.04057138040661812,0.13495513796806335,0.0,0.07512100040912628,0.178923562169075,0.08641975373029709,0.0047750468365848064,0.022023959085345268,0.0,0.0,0.03078513592481613,0.03835205361247063,0.011134589090943336,0.0313093401491642,0.06709461659193039,0.09302385151386261,7.934970199130476e-05,0.0005052306805737317,5.697632578412215e-13,2.3355783453082868e-12,0.015962176024913788,0.04343061149120331,0.37642785906791687,0.18267519772052765,0.49374154210090637,0.13616980612277985,2,7
NGSIM,MoE_NoScenePrior,42,12,258,258,25.8,0.4106329083442688,0.5414129495620728,10.182597160339355,12.138724327087402,0.7781685590744019,0,-1,0,0,0.0,2.0,258,2.331658363342285,0,0.0,0,0.0,0,25.73910140991211,0.0,0.0,0.0,0.0,0.0,0.0,0.5503385066986084,0.02433948591351509,0.9457364082336426,0.0,0.0,0.0,0.0,0.0,0.0,0.12248007953166962,0.19321611523628235,0.0,0.3271816670894623,0.20834319293498993,0.05426356568932533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030344268307089806,0.019879141822457314,0.0,0.0,0.0,0.0,2.6125481181358173e-19,1.278814195971774e-18,1.6091987497298538e-13,4.707070237058852e-13,0.0,0.0,0.38310864567756653,0.15749236941337585,0.5865470767021179,0.15108685195446014,2,7
