dataset,model,seed,event_id,available_future_steps,horizon_steps,horizon_seconds,mae_acc,rmse_acc,mae_spacing,rmse_spacing,mae_speed,collision,collision_step,unsafe_event,unsafe_frames,unsafe_frame_rate,unsafe_thw_threshold_seconds,thw_moving_frames,minimum_predicted_thw,negative_speed_attempts,negative_speed_attempt_rate,overspeed_attempts,overspeed_attempt_rate,numerical_failure,minimum_predicted_spacing,router_mean_Mamba,router_std_Mamba,router_top1_fraction_Mamba,router_mean_Gipps,router_std_Gipps,router_top1_fraction_Gipps,router_mean_GM,router_std_GM,router_top1_fraction_GM,router_mean_FVD,router_std_FVD,router_top1_fraction_FVD,router_mean_Wiedemann,router_std_Wiedemann,router_top1_fraction_Wiedemann,router_mean_NETSIM,router_std_NETSIM,router_top1_fraction_NETSIM,router_mean_Mod_NETSIM,router_std_Mod_NETSIM,router_top1_fraction_Mod_NETSIM,router_mean_Fritzsche,router_std_Fritzsche,router_top1_fraction_Fritzsche,contribution_mean_Mamba,contribution_std_Mamba,contribution_mean_Gipps,contribution_std_Gipps,contribution_mean_GM,contribution_std_GM,contribution_mean_FVD,contribution_std_FVD,contribution_mean_Wiedemann,contribution_std_Wiedemann,contribution_mean_NETSIM,contribution_std_NETSIM,contribution_mean_Mod_NETSIM,contribution_std_Mod_NETSIM,contribution_mean_Fritzsche,contribution_std_Fritzsche,contribution_mean_Transformer_shared,contribution_std_Transformer_shared,contribution_mean_IDM_shared,contribution_std_IDM_shared,evaluation_gpu_local,evaluation_gpu_physical
NGSIM,MoE_NoScenePrior,73,0,590,590,59.0,0.5904993414878845,0.77387535572052,2.7100577354431152,3.083217144012451,0.6983656287193298,0,-1,0,0,0.0,2.0,590,2.060098648071289,0,0.0,0,0.0,0,11.010885238647461,0.33694884181022644,0.23861946165561676,0.5661016702651978,0.2184174656867981,0.2444062978029251,0.010169491171836853,0.07081825286149979,0.17387746274471283,0.05593220517039299,0.08789201825857162,0.188900426030159,0.0,0.19534315168857574,0.24527978897094727,0.3050847351551056,0.034324731677770615,0.12560413777828217,0.0,0.0,0.0,0.0,0.05625567212700844,0.15856441855430603,0.06271186470985413,0.031072493642568588,0.04054456204175949,0.02526237443089485,0.036222122609615326,0.013915632851421833,0.04966016113758087,0.006056404206901789,0.016298823058605194,0.030559659004211426,0.045509785413742065,9.229714237335429e-08,9.014777333504753e-07,0.0,0.0,0.015926385298371315,0.05181780084967613,0.4474051296710968,0.12103676050901413,0.4298018515110016,0.12554366886615753,0,5
NGSIM,MoE_NoScenePrior,73,1,415,415,41.5,0.4150933623313904,0.5665783286094666,6.348376750946045,7.1446380615234375,0.7328834533691406,0,-1,0,0,0.0,2.0,415,2.1158573627471924,0,0.0,0,0.0,0,8.648422241210938,0.35609954595565796,0.23119646310806274,0.6168674826622009,0.14743098616600037,0.22716715931892395,0.0602409653365612,0.1212548017501831,0.21382729709148407,0.06265060603618622,0.2212323695421219,0.24552346765995026,0.07228915393352509,0.09649606794118881,0.19746586680412292,0.16144578158855438,0.04168745130300522,0.1373613178730011,0.0,0.0,0.0,0.0,0.015798747539520264,0.08785752952098846,0.026506023481488228,0.03330054134130478,0.04333803057670593,0.01969217322766781,0.040069449692964554,0.015623165294528008,0.03379235416650772,0.025329040363430977,0.03961341455578804,0.0221059899777174,0.058096013963222504,3.2042321436165366e-06,3.17640915454831e-05,0.0,0.0,0.0036826366558670998,0.02067885361611843,0.4207617938518524,0.17925795912742615,0.4595014750957489,0.13237257301807404,0,5
NGSIM,MoE_NoScenePrior,73,2,458,458,45.800000000000004,0.4739474058151245,0.6262136697769165,5.045139312744141,5.212402820587158,0.3549978733062744,0,-1,1,319,0.6965065502183406,2.0,458,1.556250810623169,0,0.0,0,0.0,0,10.622373580932617,0.4937593340873718,0.1084635779261589,0.9410480260848999,0.11772891134023666,0.20692850649356842,0.0,0.0,0.0,0.0,0.19126439094543457,0.23555181920528412,0.0,0.06526745110750198,0.1649620234966278,0.0,0.068184033036232,0.167721688747406,0.0043668122962117195,0.03716866672039032,0.12922975420951843,0.006550218444317579,0.026627207174897194,0.11587020754814148,0.04803493618965149,0.031357839703559875,0.029467396438121796,0.008245633915066719,0.018185188993811607,0.0,0.0,0.013625601306557655,0.027047835290431976,0.015298241749405861,0.055568620562553406,3.1686577131040394e-05,0.0003451662487350404,8.19795644702026e-08,3.5018365451833233e-07,0.005218881648033857,0.026132434606552124,0.48018544912338257,0.15496045351028442,0.4460364580154419,0.14429108798503876,2,7
NGSIM,MoE_NoScenePrior,73,3,507,507,50.7,0.5246187448501587,0.716875433921814,7.0739521980285645,7.647611618041992,0.5870711803436279,0,-1,0,0,0.0,2.0,507,2.061676263809204,0,0.0,0,0.0,0,13.683406829833984,0.41576677560806274,0.19187363982200623,0.7573964595794678,0.39181798696517944,0.20267069339752197,0.09467455744743347,0.003887136932462454,0.0435897558927536,0.0,0.011707725934684277,0.07519569247961044,0.0,0.08822198957204819,0.19120053946971893,0.14003944396972656,0.06807687878608704,0.17009708285331726,0.0,0.0,0.0,0.0,0.020521515980362892,0.09872584789991379,0.00788954645395279,0.04721853882074356,0.07361116260290146,0.04150519147515297,0.03556026518344879,0.0007281296420842409,0.008301258087158203,0.00371731910854578,0.025003191083669662,0.011925822123885155,0.03291961923241615,1.8910394317117607e-07,1.41434975375887e-06,0.0,0.0,0.004223807714879513,0.02399366907775402,0.4524189233779907,0.12054794281721115,0.4382619261741638,0.13504216074943542,2,7
NGSIM,MoE_NoScenePrior,73,4,136,136,13.600000000000001,0.9161394834518433,1.1303528547286987,3.128782033920288,3.938634157180786,0.6735678315162659,0,-1,0,0,0.0,2.0,136,2.5384769439697266,0,0.0,0,0.0,0,54.39617919921875,0.2672194540500641,0.13158641755580902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07455634325742722,0.15715639293193817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6582241654396057,0.04655442386865616,1.0,0.0,0.0,0.0,0.07897397875785828,0.06093481555581093,0.0,0.0,0.0,0.0,0.009320000186562538,0.020138811320066452,0.0,0.0,0.0,0.0,5.895301142053275e-26,0.0,0.0,0.0,0.498492568731308,0.20910854637622833,0.4132136404514313,0.2171417772769928,1,6
NGSIM,MoE_NoScenePrior,73,5,436,436,43.6,0.6493852138519287,0.8268190026283264,1.9454407691955566,2.4894399642944336,0.561874508857727,0,-1,0,0,0.0,2.0,436,2.1804513931274414,0,0.0,0,0.0,0,9.267769813537598,0.36162662506103516,0.22548210620880127,0.5412843823432922,0.25610530376434326,0.24802690744400024,0.07568807154893875,0.09415840357542038,0.19566603004932404,0.06651376187801361,0.11606518924236298,0.2113928347826004,0.13990825414657593,0.10886605829000473,0.2062617987394333,0.13302752375602722,0.038588885217905045,0.13268977403640747,0.0,0.0,0.0,0.0,0.02458943985402584,0.10932127386331558,0.04357798025012016,0.031156430020928383,0.05615483969449997,0.034583769738674164,0.041504986584186554,0.010006793774664402,0.02646692283451557,0.018784334883093834,0.040161315351724625,0.02231072075664997,0.0577186681330204,1.8881179641994095e-07,2.0866298200417077e-06,0.0,0.0,0.0050230976194143295,0.022513089701533318,0.396663635969162,0.16743171215057373,0.4814710319042206,0.13248082995414734,2,7
NGSIM,MoE_NoScenePrior,73,6,443,443,44.300000000000004,0.5403130054473877,0.7077665328979492,4.606415748596191,5.537823677062988,0.7693638801574707,0,-1,1,33,0.0744920993227991,2.0,443,1.7986196279525757,0,0.0,0,0.0,0,7.032545566558838,0.28757160902023315,0.24695155024528503,0.28893905878067017,0.2135235220193863,0.24641703069210052,0.17381489276885986,0.04343123361468315,0.14182791113853455,0.05191873759031296,0.18832607567310333,0.24095036089420319,0.015801355242729187,0.23892639577388763,0.2516803741455078,0.44018059968948364,0.010131693445146084,0.07035767287015915,0.009029345586895943,0.0,0.0,0.0,0.018089506775140762,0.09346362203359604,0.020316027104854584,0.018604420125484467,0.029792338609695435,0.020932281389832497,0.03144623711705208,0.0032278476282954216,0.012149590067565441,0.013809464871883392,0.028838330879807472,0.035594649612903595,0.06020879000425339,8.255033208115492e-06,0.00010696984099922702,0.0,0.0,0.0024394697975367308,0.013211838901042938,0.4262615740299225,0.1334647834300995,0.47912195324897766,0.11913406103849411,1,6
NGSIM,MoE_NoScenePrior,73,7,392,392,39.2,0.41374891996383667,0.573331892490387,5.8302412033081055,6.944769382476807,0.6265150308609009,0,-1,1,177,0.45153061224489793,2.0,392,1.4769939184188843,0,0.0,0,0.0,0,6.762551307678223,0.4013533592224121,0.2112797349691391,0.7729591727256775,0.048803191632032394,0.14682930707931519,0.0,0.03542732819914818,0.1277400106191635,0.012755102477967739,0.2730436623096466,0.2465181052684784,0.21173469722270966,0.21928106248378754,0.24299924075603485,0.0025510203558951616,0.022091276943683624,0.10070564597845078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026953212916851044,0.032989393919706345,0.0035103377886116505,0.01575596071779728,0.0045227245427668095,0.020240584388375282,0.02641722373664379,0.03760075941681862,0.0386323556303978,0.07538031786680222,2.087398934236262e-05,0.0001280882570426911,0.0,0.0,0.0,0.0,0.4474277198314667,0.1664554327726364,0.45251569151878357,0.14063099026679993,0,5
NGSIM,MoE_NoScenePrior,73,8,516,516,51.6,0.4933962821960449,0.6368520855903625,2.4608256816864014,3.2428064346313477,0.5241333842277527,0,-1,0,0,0.0,2.0,516,2.572568893432617,0,0.0,0,0.0,0,13.01687240600586,0.2837950587272644,0.25169187784194946,0.4205426275730133,0.3326016366481781,0.23522847890853882,0.3100775182247162,0.08031964302062988,0.18216170370578766,0.021317830309271812,0.1525534689426422,0.22658762335777283,0.03488372266292572,0.10926163196563721,0.2075224220752716,0.16472868621349335,0.009460784494876862,0.06729815155267715,0.0,0.0,0.0,0.0,0.03200768679380417,0.12453426420688629,0.04844961315393448,0.030657179653644562,0.05155498534440994,0.04824993386864662,0.04896589741110802,0.008944803848862648,0.027408747002482414,0.03139890357851982,0.056934721767902374,0.020482417196035385,0.05213497206568718,3.84105103279353e-09,5.1613678664352847e-08,0.0,0.0,0.0050472840666770935,0.019694413989782333,0.3659156858921051,0.15975134074687958,0.4893035590648651,0.13179151713848114,2,7
NGSIM,MoE_NoScenePrior,73,9,481,481,48.1,0.4302128255367279,0.5511956810951233,6.252895832061768,7.395639419555664,0.44032591581344604,0,-1,0,0,0.0,2.0,481,2.178557872772217,0,0.0,0,0.0,0,14.158390998840332,0.47736790776252747,0.11649908870458603,0.7920997738838196,0.21505717933177948,0.24432189762592316,0.03534303605556488,0.01446601003408432,0.08355144411325455,0.010395010001957417,0.11552858352661133,0.2097114622592926,0.054054055362939835,0.17758044600486755,0.23803237080574036,0.10810811072587967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030913222581148148,0.03329318016767502,0.024363240227103233,0.03785175830125809,0.0015711589949205518,0.01008406188338995,0.016550567001104355,0.042683761566877365,0.03139810636639595,0.06170712038874626,0.0,0.0,0.0,0.0,0.0,0.0,0.4355789124965668,0.1287849247455597,0.45962485671043396,0.13100993633270264,2,7
