dataset,model,seed,event_id,available_future_steps,horizon_steps,horizon_seconds,mae_acc,rmse_acc,mae_spacing,rmse_spacing,mae_speed,collision,collision_step,unsafe_event,unsafe_frames,unsafe_frame_rate,unsafe_thw_threshold_seconds,thw_moving_frames,minimum_predicted_thw,negative_speed_attempts,negative_speed_attempt_rate,overspeed_attempts,overspeed_attempt_rate,numerical_failure,minimum_predicted_spacing,evaluation_gpu_local,evaluation_gpu_physical
NGSIM,NETSIM,73,0,590,590,59.0,0.6467214226722717,0.8435814380645752,75.3646469116211,104.67188262939453,4.045444011688232,0,-1,0,0,0.0,2.0,590,3.0673019886016846,0,0.0,0,0.0,0,7.411329746246338,0,5
NGSIM,NETSIM,73,1,415,415,41.5,0.49823087453842163,0.6859016418457031,15.172318458557129,18.136594772338867,2.57755708694458,1,256,1,136,0.327710843373494,2.0,256,0.0,0,0.0,0,0.0,0,0.0,0,5
NGSIM,NETSIM,73,2,458,458,45.800000000000004,0.5679739713668823,0.7611269354820251,24.07421112060547,32.99546813964844,2.020728588104248,0,-1,1,155,0.3384279475982533,2.0,458,1.247862696647644,0,0.0,0,0.0,0,8.048876762390137,2,7
NGSIM,NETSIM,73,3,507,507,50.7,0.6053538918495178,0.7985576391220093,128.07229614257812,154.99684143066406,5.468081474304199,0,-1,0,0,0.0,2.0,507,7.4660515785217285,0,0.0,0,0.0,0,15.917730331420898,2,7
NGSIM,NETSIM,73,4,136,136,13.600000000000001,0.812329888343811,1.0243945121765137,2.8697097301483154,3.801950693130493,0.594979465007782,0,-1,0,0,0.0,2.0,136,3.269181251525879,0,0.0,0,0.0,0,68.56290435791016,1,6
NGSIM,NETSIM,73,5,436,436,43.6,0.7769238948822021,0.9914854168891907,20.03070831298828,33.660396575927734,3.0274126529693604,0,-1,1,69,0.15825688073394495,2.0,436,0.49474385380744934,0,0.0,0,0.0,0,1.2587875127792358,2,7
NGSIM,NETSIM,73,6,443,443,44.300000000000004,0.43724891543388367,0.6469191312789917,10.889174461364746,11.405538558959961,4.48911190032959,1,82,1,82,0.18510158013544017,2.0,82,0.0,0,0.0,0,0.0,0,0.0,1,6
NGSIM,NETSIM,73,7,392,392,39.2,0.32110628485679626,0.5178354382514954,21.597900390625,32.37360382080078,2.2253122329711914,0,-1,1,69,0.1760204081632653,2.0,392,1.501212477684021,0,0.0,0,0.0,0,6.896406650543213,0,5
NGSIM,NETSIM,73,8,516,516,51.6,0.5833068490028381,0.8954270482063293,80.8981704711914,95.62297058105469,3.5058374404907227,0,-1,0,0,0.0,2.0,516,3.993415594100952,0,0.0,0,0.0,0,15.020846366882324,2,7
NGSIM,NETSIM,73,9,481,481,48.1,0.47995543479919434,0.7125263810157776,68.91590118408203,86.45204162597656,3.59291672706604,0,-1,0,0,0.0,2.0,481,3.650883436203003,0,0.0,0,0.0,0,15.426753044128418,2,7
NGSIM,NETSIM,73,10,399,399,39.900000000000006,0.5384367108345032,0.7395564913749695,8.896577835083008,13.23380184173584,1.810336947441101,0,-1,0,0,0.0,2.0,399,2.7403392791748047,0,0.0,0,0.0,0,7.052877902984619,0,5
NGSIM,NETSIM,73,11,567,567,56.7,0.6024340987205505,0.8528205156326294,129.15264892578125,167.08274841308594,5.597084045410156,0,-1,0,0,0.0,2.0,567,14.634194374084473,0,0.0,0,0.0,0,7.7654337882995605,2,7
NGSIM,NETSIM,73,12,258,258,25.8,0.43707960844039917,0.6209325194358826,19.285465240478516,25.817472457885742,2.2307121753692627,0,-1,0,0,0.0,2.0,258,2.303504705429077,0,0.0,0,0.0,0,25.652851104736328,2,7
NGSIM,NETSIM,73,13,526,526,52.6,0.5465608835220337,0.7096104025840759,45.702064514160156,65.05683898925781,2.6158828735351562,0,-1,1,141,0.26806083650190116,2.0,526,1.3563185930252075,0,0.0,0,0.0,0,7.791782855987549,0,5
NGSIM,NETSIM,73,14,175,175,17.5,0.6774992346763611,0.8360977172851562,0.8033259510993958,1.008470058441162,0.3792651891708374,0,-1,0,0,0.0,2.0,175,2.112105131149292,0,0.0,0,0.0,0,16.748170852661133,1,6
NGSIM,NETSIM,73,15,257,257,25.700000000000003,0.5880993604660034,0.7707732319831848,58.13462829589844,75.75212097167969,5.770783424377441,0,-1,0,0,0.0,2.0,257,4.642482280731201,0,0.0,0,0.0,0,13.132853507995605,2,7
NGSIM,NETSIM,73,16,200,200,20.0,0.653510570526123,0.9585714936256409,3.832512855529785,4.865816593170166,1.4110019207000732,0,-1,0,0,0.0,2.0,200,6.666017532348633,0,0.0,0,0.0,0,12.129655838012695,1,6
NGSIM,NETSIM,73,17,366,366,36.6,0.5683764815330505,0.7047120332717896,33.16522979736328,44.02967834472656,2.5676684379577637,0,-1,0,0,0.0,2.0,366,2.6751153469085693,0,0.0,0,0.0,0,9.759391784667969,0,5
NGSIM,NETSIM,73,18,526,526,52.6,0.6424249410629272,0.9188263416290283,76.0910873413086,90.95624542236328,3.440028429031372,0,-1,0,0,0.0,2.0,526,2.764730453491211,0,0.0,0,0.0,0,10.775378227233887,2,7
NGSIM,NETSIM,73,19,687,687,68.7,0.8121796250343323,1.0926711559295654,117.87255859375,158.48216247558594,4.983216762542725,0,-1,0,0,0.0,2.0,687,2.053468942642212,0,0.0,0,0.0,0,2.221365213394165,1,6
NGSIM,NETSIM,73,20,386,386,38.6,0.4721660315990448,0.7062994241714478,2.5827102661132812,3.523794651031494,0.8355965614318848,0,-1,0,0,0.0,2.0,386,2.4306252002716064,0,0.0,0,0.0,0,6.659184455871582,1,6
NGSIM,NETSIM,73,21,303,303,30.3,0.7021547555923462,0.9353281259536743,8.502410888671875,9.859414100646973,1.1630991697311401,0,-1,0,0,0.0,2.0,303,2.5624403953552246,0,0.0,0,0.0,0,23.85889434814453,0,5
NGSIM,NETSIM,73,22,678,678,67.8,0.8229593634605408,1.0923017263412476,53.90901565551758,76.6518783569336,3.1125454902648926,0,-1,1,114,0.168141592920354,2.0,678,1.4225722551345825,0,0.0,0,0.0,0,5.145004749298096,0,5
NGSIM,NETSIM,73,23,223,223,22.3,0.6111252903938293,0.8700987696647644,7.224412441253662,8.548243522644043,1.1485035419464111,0,-1,1,33,0.14798206278026907,2.0,223,1.3674792051315308,0,0.0,0,0.0,0,12.14722728729248,2,7
NGSIM,NETSIM,73,24,185,185,18.5,0.2921801805496216,0.48434707522392273,7.482057094573975,8.545548439025879,0.8918715119361877,0,-1,0,0,0.0,2.0,185,3.053880453109741,0,0.0,0,0.0,0,14.77000617980957,0,5
NGSIM,NETSIM,73,25,317,317,31.700000000000003,0.690731406211853,1.1021767854690552,9.485641479492188,11.809998512268066,1.8042486906051636,0,-1,1,41,0.12933753943217666,2.0,317,1.1870936155319214,0,0.0,0,0.0,0,7.183412075042725,1,6
NGSIM,NETSIM,73,26,176,176,17.6,0.5498034954071045,0.7935386300086975,0.8329095244407654,1.1965916156768799,0.37888240814208984,0,-1,1,176,1.0,2.0,176,0.7455608248710632,0,0.0,0,0.0,0,12.884613037109375,0,5
NGSIM,NETSIM,73,27,146,146,14.600000000000001,0.6740046739578247,0.8708637356758118,4.465976238250732,5.280197620391846,0.6697512269020081,0,-1,0,0,0.0,2.0,146,2.243870258331299,0,0.0,0,0.0,0,44.01198196411133,0,5
NGSIM,NETSIM,73,28,638,638,63.800000000000004,0.456311970949173,0.6358687877655029,25.929100036621094,29.141206741333008,1.3601038455963135,0,-1,0,0,0.0,2.0,638,3.379892110824585,0,0.0,0,0.0,0,16.830862045288086,1,6
