dataset,model,seed,event_id,available_future_steps,horizon_steps,horizon_seconds,mae_acc,rmse_acc,mae_spacing,rmse_spacing,mae_speed,collision,collision_step,unsafe_event,unsafe_frames,unsafe_frame_rate,unsafe_thw_threshold_seconds,thw_moving_frames,minimum_predicted_thw,negative_speed_attempts,negative_speed_attempt_rate,overspeed_attempts,overspeed_attempt_rate,numerical_failure,minimum_predicted_spacing,router_mean_Mamba,router_std_Mamba,router_top1_fraction_Mamba,router_mean_Gipps,router_std_Gipps,router_top1_fraction_Gipps,router_mean_GM,router_std_GM,router_top1_fraction_GM,router_mean_FVD,router_std_FVD,router_top1_fraction_FVD,router_mean_Wiedemann,router_std_Wiedemann,router_top1_fraction_Wiedemann,router_mean_NETSIM,router_std_NETSIM,router_top1_fraction_NETSIM,router_mean_Mod_NETSIM,router_std_Mod_NETSIM,router_top1_fraction_Mod_NETSIM,router_mean_Fritzsche,router_std_Fritzsche,router_top1_fraction_Fritzsche,contribution_mean_Mamba,contribution_std_Mamba,contribution_mean_Gipps,contribution_std_Gipps,contribution_mean_GM,contribution_std_GM,contribution_mean_FVD,contribution_std_FVD,contribution_mean_Wiedemann,contribution_std_Wiedemann,contribution_mean_NETSIM,contribution_std_NETSIM,contribution_mean_Mod_NETSIM,contribution_std_Mod_NETSIM,contribution_mean_Fritzsche,contribution_std_Fritzsche,contribution_mean_Transformer_shared,contribution_std_Transformer_shared,contribution_mean_IDM_shared,contribution_std_IDM_shared,evaluation_gpu_local,evaluation_gpu_physical
NGSIM,MoE_UniformExperts,42,0,590,590,59.0,0.5834935307502747,0.7673317193984985,4.923048973083496,6.203713893890381,0.8345127701759338,0,-1,0,0,0.0,2.0,590,2.3344340324401855,0,0.0,0,0.0,0,10.28109073638916,0.09999944269657135,0.00042286395910196006,0.0,0.09999944269657135,0.00042286395910196006,0.0,0.09999944269657135,0.00042286395910196006,0.0,0.09999944269657135,0.00042286395910196006,0.0,0.09999944269657135,0.00042286395910196006,0.0,0.09999944269657135,0.00042286395910196006,0.0,0.09999944269657135,0.00042286395910196006,0.0,0.09999944269657135,0.00042286395910196006,0.0,0.17078235745429993,0.12084507942199707,0.07596714794635773,0.04348799213767052,0.1356155425310135,0.07800128310918808,0.051052019000053406,0.027685554698109627,0.06929489970207214,0.04502662643790245,3.106707708866452e-06,8.218742550525349e-06,0.0025579321663826704,0.010344679467380047,0.17052407562732697,0.09774485975503922,0.23441094160079956,0.09612913429737091,0.08979205042123795,0.0395142063498497,0,5
NGSIM,MoE_UniformExperts,42,1,415,415,41.5,0.38991039991378784,0.534939169883728,7.228939056396484,7.9038405418396,0.6775578260421753,0,-1,1,7,0.016867469879518072,2.0,415,1.9677845239639282,0,0.0,0,0.0,0,6.5812883377075195,0.09999985247850418,0.00016991468146443367,0.0,0.09999985247850418,0.00016991468146443367,0.0,0.09999985247850418,0.00016991468146443367,0.0,0.09999985247850418,0.00016991468146443367,0.0,0.09999985247850418,0.00016991468146443367,0.0,0.09999985247850418,0.00016991468146443367,0.0,0.09999985247850418,0.00016991468146443367,0.0,0.09999985247850418,0.00016991468146443367,0.0,0.24788907170295715,0.1177937388420105,0.08669796586036682,0.06630022823810577,0.1549871414899826,0.08730899542570114,0.05381496250629425,0.030784666538238525,0.07362744212150574,0.04516972601413727,0.00040479839663021266,0.0014548467006534338,0.005442193243652582,0.017904510721564293,0.1088416576385498,0.08170994371175766,0.19168515503406525,0.11844015121459961,0.07660973817110062,0.040710002183914185,0,5
NGSIM,MoE_UniformExperts,42,2,458,458,45.800000000000004,0.4894723892211914,0.6574445962905884,5.439333915710449,5.599382400512695,0.3741641342639923,0,-1,1,347,0.75764192139738,2.0,458,1.4936474561691284,0,0.0,0,0.0,0,9.54385757446289,0.09999972581863403,0.00027802836848422885,0.0,0.09999972581863403,0.00027802836848422885,0.0,0.09999972581863403,0.00027802836848422885,0.0,0.09999972581863403,0.00027802836848422885,0.0,0.09999972581863403,0.00027802836848422885,0.0,0.09999972581863403,0.00027802836848422885,0.0,0.09999972581863403,0.00027802836848422885,0.0,0.09999972581863403,0.00027802836848422885,0.0,0.2790380120277405,0.12823383510112762,0.07837237417697906,0.03561688959598541,0.10885005444288254,0.08092183619737625,0.030577681958675385,0.022773023694753647,0.04575246572494507,0.03540993109345436,0.0013666499871760607,0.010607720352709293,0.0007765904301777482,0.006364902015775442,0.14134299755096436,0.05332889035344124,0.22862793505191803,0.13342450559139252,0.08529550582170486,0.028604788705706596,2,7
NGSIM,MoE_UniformExperts,42,3,507,507,50.7,0.5513207912445068,0.7599241733551025,12.50623607635498,13.374367713928223,0.8393269777297974,0,-1,0,0,0.0,2.0,507,2.4699008464813232,0,0.0,0,0.0,0,15.914778709411621,0.09999959915876389,0.00034928965033032,0.0,0.09999959915876389,0.00034928965033032,0.0,0.09999959915876389,0.00034928965033032,0.0,0.09999959915876389,0.00034928965033032,0.0,0.09999959915876389,0.00034928965033032,0.0,0.09999959915876389,0.00034928965033032,0.0,0.09999959915876389,0.00034928965033032,0.0,0.09999959915876389,0.00034928965033032,0.0,0.1869940459728241,0.12027651071548462,0.09677822887897491,0.05471576377749443,0.11981429159641266,0.07493630051612854,0.04721789434552193,0.027817480266094208,0.0642995834350586,0.0455477349460125,8.923328209675674e-08,3.5209458815188555e-07,1.9699272968409787e-07,1.1812977618319564e-06,0.13919265568256378,0.08532968163490295,0.246616929769516,0.10051558166742325,0.09908615797758102,0.0392291434109211,2,7
NGSIM,MoE_UniformExperts,42,4,136,136,13.600000000000001,0.860304057598114,1.0797308683395386,1.3166639804840088,1.7928383350372314,0.5187737345695496,0,-1,0,0,0.0,2.0,136,3.2006289958953857,0,0.0,0,0.0,0,65.7688217163086,0.10000011324882507,0.0,0.0,0.10000011324882507,0.0,0.0,0.10000011324882507,0.0,0.0,0.10000011324882507,0.0,0.0,0.10000011324882507,0.0,0.0,0.10000011324882507,0.0,0.0,0.10000011324882507,0.0,0.0,0.10000011324882507,0.0,0.0,0.28195488452911377,0.029022328555583954,0.10663872957229614,0.011606353335082531,0.23303240537643433,0.0530824139714241,0.0001290526270167902,1.4488527085632086e-05,0.146811380982399,0.02336343377828598,1.913445392258163e-23,9.169400462483332e-23,1.4966012039005347e-31,0.0,0.05734199285507202,0.022544240579009056,0.15681391954421997,0.08727420121431351,0.017277579754590988,0.013311111368238926,1,6
NGSIM,MoE_UniformExperts,42,5,436,436,43.6,0.6337222456932068,0.8037832975387573,2.6436426639556885,3.834988594055176,0.4730169177055359,0,-1,0,0,0.0,2.0,436,2.286407709121704,0,0.0,0,0.0,0,8.250617980957031,0.09999978542327881,0.0002324149536434561,0.0,0.09999978542327881,0.0002324149536434561,0.0,0.09999978542327881,0.0002324149536434561,0.0,0.09999978542327881,0.0002324149536434561,0.0,0.09999978542327881,0.0002324149536434561,0.0,0.09999978542327881,0.0002324149536434561,0.0,0.09999978542327881,0.0002324149536434561,0.0,0.09999978542327881,0.0002324149536434561,0.0,0.1959400475025177,0.11059822887182236,0.10139799863100052,0.04889242723584175,0.13655532896518707,0.07476958632469177,0.05077015981078148,0.029039019718766212,0.05654183775186539,0.03195449709892273,0.0001625967415748164,0.000673928763717413,0.005756979342550039,0.018770689144730568,0.13912825286388397,0.07004518806934357,0.22085082530975342,0.08458023518323898,0.09289585053920746,0.03734529763460159,2,7
NGSIM,MoE_UniformExperts,42,6,443,443,44.300000000000004,0.5230827331542969,0.6816631555557251,5.856306552886963,7.174211025238037,0.880513608455658,0,-1,1,44,0.09932279909706546,2.0,435,1.660170316696167,7,0.01580135440180587,0,0.0,0,4.286309719085693,0.09999976307153702,0.00024979712907224894,0.0,0.09999976307153702,0.00024979712907224894,0.0,0.09999976307153702,0.00024979712907224894,0.0,0.09999976307153702,0.00024979712907224894,0.0,0.09999976307153702,0.00024979712907224894,0.0,0.09999976307153702,0.00024979712907224894,0.0,0.09999976307153702,0.00024979712907224894,0.0,0.09999976307153702,0.00024979712907224894,0.0,0.20499849319458008,0.09122703969478607,0.06712213158607483,0.03772636875510216,0.08777376264333725,0.06187207251787186,0.03347539156675339,0.021576516330242157,0.05019359290599823,0.042903587222099304,0.0030299932695925236,0.013458051718771458,0.0065481276251375675,0.01782337576150894,0.20274874567985535,0.07969684153795242,0.2445632666349411,0.10617805272340775,0.09954649955034256,0.04021832346916199,1,6
NGSIM,MoE_UniformExperts,42,7,392,392,39.2,0.42670491337776184,0.5701461434364319,5.3447675704956055,6.180423736572266,0.5736581683158875,0,-1,1,98,0.25,2.0,392,1.4604054689407349,0,0.0,0,0.0,0,6.0767598152160645,0.09999993443489075,6.823938019806519e-05,0.0,0.09999993443489075,6.823938019806519e-05,0.0,0.09999993443489075,6.823938019806519e-05,0.0,0.09999993443489075,6.823938019806519e-05,0.0,0.09999993443489075,6.823938019806519e-05,0.0,0.09999993443489075,6.823938019806519e-05,0.0,0.09999993443489075,6.823938019806519e-05,0.0,0.09999993443489075,6.823938019806519e-05,0.0,0.2121574580669403,0.12136392295360565,0.06093387305736542,0.03692449629306793,0.0995633527636528,0.07483576983213425,0.030448926612734795,0.02522541768848896,0.04950233921408653,0.030004169791936874,0.0007281373254954815,0.0015382469864562154,0.004127387423068285,0.016075097024440765,0.18685638904571533,0.07310640811920166,0.27188265323638916,0.1288057267665863,0.08379954099655151,0.03387000411748886,0,5
NGSIM,MoE_UniformExperts,42,8,516,516,51.6,0.4798544943332672,0.6339135766029358,2.396946668624878,3.143141269683838,0.5492081642150879,0,-1,0,0,0.0,2.0,516,2.5557613372802734,0,0.0,0,0.0,0,12.07996940612793,0.09999958425760269,0.00035850037238560617,0.0,0.09999958425760269,0.00035850037238560617,0.0,0.09999958425760269,0.00035850037238560617,0.0,0.09999958425760269,0.00035850037238560617,0.0,0.09999958425760269,0.00035850037238560617,0.0,0.09999958425760269,0.00035850037238560617,0.0,0.09999958425760269,0.00035850037238560617,0.0,0.09999958425760269,0.00035850037238560617,0.0,0.22364984452724457,0.1084563285112381,0.08730440586805344,0.04785917326807976,0.13705796003341675,0.07733096182346344,0.05436846613883972,0.03179144859313965,0.06533952802419662,0.0403687059879303,2.0603531083907e-05,0.00011603272287175059,0.003951560705900192,0.015777254477143288,0.13380475342273712,0.08091127872467041,0.20469582080841064,0.10682086646556854,0.08980728685855865,0.03767513483762741,2,7
NGSIM,MoE_UniformExperts,42,9,481,481,48.1,0.4613993465900421,0.6128405928611755,8.595344543457031,10.256688117980957,0.6624847650527954,0,-1,0,0,0.0,2.0,481,2.3909647464752197,0,0.0,0,0.0,0,14.677301406860352,0.09999966621398926,0.0003127121308352798,0.0,0.09999966621398926,0.0003127121308352798,0.0,0.09999966621398926,0.0003127121308352798,0.0,0.09999966621398926,0.0003127121308352798,0.0,0.09999966621398926,0.0003127121308352798,0.0,0.09999966621398926,0.0003127121308352798,0.0,0.09999966621398926,0.0003127121308352798,0.0,0.09999966621398926,0.0003127121308352798,0.0,0.23093631863594055,0.12976284325122833,0.08961529284715652,0.047390252351760864,0.12108016759157181,0.07170037180185318,0.04173344373703003,0.024883117526769638,0.058164358139038086,0.04162757098674774,7.228331355690898e-07,2.2967719814914744e-06,7.245875622174935e-06,6.304683483904228e-05,0.13209615647792816,0.07103253155946732,0.22938276827335358,0.10260124504566193,0.09698338061571121,0.03521944209933281,2,7
